episode,reward,avg_waiting_time,avg_queue_length
0,0.0,0.0,0.0
1,0.07597161815768386,0.0,0.0
2,0.04977700022464594,0.0,0.25
3,-3.6586658099838356,830.0,12.25
4,-0.029941173167231487,0.0,1.0
5,-40.42398314580627,9771.25,46.0
6,0.023076270924612452,0.0,0.5
7,0.023131264369483567,0.0,0.5
8,0.07627464310020486,0.0,0.0
9,0.03081085660409992,0.0,0.25
10,0.023550698028289706,0.0,0.5
11,-4.250232892311141,1056.25,2.0
12,0.04958143724433355,0.0,0.25
13,-1.4544568670649765,321.25,7.75
14,0.04063712623258473,0.0,0.5
15,-0.0027325093843687774,0.0,0.75
16,-0.001304432063086912,0.0,0.75
17,0.037777755691294414,0.0,0.0
18,-1.6394916734625196,371.25,6.5
19,-0.6326307831322618,125.25,6.75
20,0.03067224075411707,0.0,0.25
21,-0.5638571412560686,117.0,4.5
22,-0.12112733379008608,33.75,0.5
23,0.04393079985317145,0.0,0.25
24,-0.009211156467719297,0.0,0.75
25,-2.390010001481257,559.75,6.0
26,0.05014996393713843,0.0,0.25
27,0.030746819563553664,0.0,0.25
28,0.02315609181530904,0.0,0.5
29,-0.38896899393514456,80.25,4.0
30,-1.4531519901929124,347.25,3.75
31,-0.02887745161877308,14.0,0.75
32,0.023357159099303186,0.0,0.5
33,0.07024984750060123,0.0,0.0
34,-0.9461099507003761,229.75,3.0
35,0.01797512360181279,0.0,0.5
36,0.01797512360181279,0.0,0.5
37,0.01797512360181279,0.0,0.5
38,0.01797512360181279,0.0,0.5
39,0.0,0.0,0.0
40,0.05047223781755548,0.0,0.25
41,0.04337951953399616,0.0,0.25
42,-0.458739392843507,100.75,3.5
43,-0.003753630840931544,0.0,0.75
44,0.01226889960779608,3.25,0.5
45,0.044524094303303084,0.0,0.25
46,0.043448626359795905,0.0,0.25
47,0.037108623297897866,0.0,0.25
